state,tru_id,age_group_id,population_total,population_male,population_female,main_workers_total,main_workers_male,main_workers_female,marginal_workers_total,marginal_workers_male,marginal_workers_female,marg_3_6mo_total,marg_3_6mo_male,marg_3_6mo_female,marg_less_3mo_total,marg_less_3mo_male,marg_less_3mo_female,non_workers_total,non_workers_male,non_workers_female,seeking_work_total,seeking_work_male,seeking_work_female
9,1,9,12051169,6198118,5853051,5619576,4730877,888699,379307,176960,202347,1552491,848848,703643,720526,499205,221321,4499795,441433,4058362,270164,68632,201532
9,1,10,9545160,4927243,4617917,3623573,3061567,562006,319035,167948,151087,1096330,645794,450536,445822,317765,128057,4506222,1051934,3454288,201938,72950,128988
9,1,11,4082260,2173969,1908291,1231877,1058956,172921,118277,72470,45807,347145,225135,122010,117087,87211,29876,2384961,817408,1567553,56498,25450,31048
9,1,12,1812484,935921,876563,416223,351978,64245,41180,25444,15736,127689,80873,46816,43919,31608,12311,1227392,477626,749766,22709,10921,11788
9,1,13,1622062,865933,756129,352304,289517,62787,28475,15463,13012,143386,85341,58045,61469,43638,17831,1097897,475612,622285,37664,19510,18154
9,1,14,111442109,57987485,53454624,38115214,32070773,6044441,3460967,1813261,1647706,14216334,8590971,5625363,8364409,6121195,2243214,55649594,15512480,40137114,7568189,3732656,3835533
9,1,15,15439904,8037133,7402771,5271673,4472501,799172,478492,265862,212630,1571164,951802,619362,606828,436584,170244,8118575,2346968,5771607,281145,109321,171824
9,2,16,155317278,80992995,74324283,33538817,27812347,5726470,3920295,2008759,1911536,14491868,8531773,5960095,8152843,5893034,2259809,103366298,42640116,60726182,6063052,2970426,3092626
9,2,1,20362456,10744603,9617853,223571,131318,92253,66108,34681,31427,239631,127378,112253,76716,42982,33734,19833146,10451226,9381920,168726,91558,77168
9,2,2,20773940,10962322,9811618,464419,314673,149746,240200,128444,111756,508238,284620,223618,209044,134650,74394,19561083,10234585,9326498,353549,207155,146394
9,2,3,17779084,9493418,8285666,1979174,1614767,364407,525486,306460,219026,1508514,989841,518673,978961,741699,237262,13765910,6582350,7183560,1794827,1116334,678493
9,2,4,12989044,6927701,6061343,3512583,2969829,542754,493659,281885,211774,1926988,1256922,670066,1291973,996876,295097,7055814,2419065,4636749,1371325,782519,588806
9,2,5,10860729,5531452,5329277,3998499,3348986,649513,444925,228776,216149,1847763,1130040,717723,1164290,863426,300864,4569542,823650,3745892,714453,301705,412748
9,2,6,9810399,4825061,4985338,3944715,3255105,689610,402665,187779,214886,1683122,955222,727900,1009605,714935,294670,3779897,426955,3352942,459511,144602,314909
9,2,7,9523701,4848208,4675493,4171378,3454377,717001,384657,178528,206129,1626574,913556,713018,947759,667745,280014,3341092,301747,3039345,352342,91447,260895
9,2,8,13963513,7294887,6668626,6492535,5402911,1089624,544872,250595,294277,2286343,1259059,1027284,1241682,868778,372904,4639763,382322,4257441,400094,94695,305399
9,2,9,9079291,4622965,4456326,4151304,3446748,704556,347226,155687,191539,1355257,717059,638198,639334,437314,202020,3225504,303471,2922033,207269,49463,157806
9,2,10,7672441,3946605,3725836,2977733,2499762,477971,296727,152683,144044,978048,565197,412851,400979,283823,117156,3419933,728963,2690970,154601,51097,103504
9,2,11,3325937,1776631,1549306,1038881,889623,149258,110420,66862,43558,309000,198730,110270,105364,78481,26883,1867636,621416,1246220,44812,19621,25191
9,2,12,1448090,754399,693691,337215,284355,52860,37963,23150,14813,109128,68627,40501,37476,27049,10427,963784,378267,585517,16209,7473,8736
